Ativo,Retorno_Anual_Pct,Volatilidade_Anual_Pct,Sharpe_Ratio,Max_Mensal_Pct,Min_Mensal_Pct,Max_Drawdown_Pct,Observacoes
ABEV3,0.47874132930440516,27.040841836851143,-0.21305766682323388,15.025906732156159,-15.661103981577252,-33.997620734850244,24
ALUP11,26.242320967252763,20.28167144139189,0.9862264569788359,18.340611360590998,-10.547550435701858,-15.12614954810529,24
AMER3,65.66009867703258,40.1234272519158,1.480932780342073,26.38449904409452,-16.043489791113952,-35.9498280396205,24
ALOS3,39.69608255212987,27.321177773670357,1.2245475956154341,18.802275009188563,-11.739543732128855,-23.909851931147255,24
ABCB4,20.4623660588253,28.942982126823512,0.49139255922230707,21.717274556034404,-13.692061800188139,-23.614169254881435,24
AZZA3,14.070811070319634,28.160647367735248,0.2780763868124601,18.330353999461213,-20.34203016082229,-33.27089102751552,24
ALPA4,51.222941013442856,34.39490534284031,1.3078373254719995,23.836734688569507,-14.72437067223874,-28.19132158972208,24
BEES3,36.19922418414831,20.763490394638083,1.442879959714524,12.562753515053004,-11.13995565506013,-16.631225892322764,24
B3SA3,39.37593083581254,29.931008748053916,1.1070769820935955,17.519611506215927,-16.11132889138146,-21.391516382835302,24
ALPA3,43.40775927269244,37.076896342144316,1.002450661719623,20.823244541735875,-22.63114127458904,-31.80348405265595,24
