,IBOV
2018-01-31 23:59:59.999999999,0.11139368079369646
2018-02-28 23:59:59.999999999,0.005192391715255873
2018-03-31 23:59:59.999999999,0.00014012297079424307
2018-04-30 23:59:59.999999999,0.008785041649114644
2018-05-31 23:59:59.999999999,-0.10871318171525446
2018-06-30 23:59:59.999999999,-0.05199872683512863
2018-07-31 23:59:59.999999999,0.08875338567163427
2018-08-31 23:59:59.999999999,-0.03209916531642598
2018-09-30 23:59:59.999999999,0.034754640635920264
2018-10-31 23:59:59.999999999,0.10185117849302072
2018-11-30 23:59:59.999999999,0.023797706682009645
2018-12-31 23:59:59.999999999,-0.01806354417784306
2019-01-31 23:59:59.999999999,0.10816674587798669
2019-02-28 23:59:59.999999999,-0.01857819418597184
2019-03-31 23:59:59.999999999,-0.0017763368166442417
2019-04-30 23:59:59.999999999,0.00983885478275015
2019-05-31 23:59:59.999999999,0.007026119387882224
2019-06-30 23:59:59.999999999,0.040573709331268804
2019-07-31 23:59:59.999999999,0.00836836121037332
2019-08-31 23:59:59.999999999,-0.0066546098190855
2019-09-30 23:59:59.999999999,0.035702021296171615
2019-10-31 23:59:59.999999999,0.023624062631151466
2019-11-30 23:59:59.999999999,0.009452076169119028
2019-12-31 23:59:59.999999999,0.06848226349603381
