Date,PETR4,VALE3,ITUB4,BBDC4,ABEV3,B3SA3,WEGE3,RENT3,LREN3,ELET3
2018-01-31 23:59:59.999999999,5.2194689667,23.454142436,16.901922477,15.170127692,16.070989203,6.5765580995,8.0914284328,20.992763415,23.538606644,16.287913037
2018-02-28 23:59:59.999999999,5.685776854,25.491172901,17.023533963,14.439933865,16.159129912,6.4605605257,7.9924193929,21.123052094,21.462036485,19.845135559
2018-03-31 23:59:59.999999999,5.6725294709,24.155514765,17.34294704,14.718986374,17.679557136,6.7303809692,7.7644751468,23.439815994,21.402137092,16.82470112
2018-04-30 23:59:59.999999999,6.0858478256,27.852378668,17.246587942,14.177659548,17.136022766,6.4042322091,7.9375532306,22.762411841,20.400559775,15.278430969
2018-05-31 23:59:59.999999999,5.0387640624,28.974027778,14.535902534,11.969784645,14.462421271,5.5106772803,7.6696942914,20.183379162,18.561318875,11.721208447
2018-06-30 23:59:59.999999999,4.5635592325,28.378867026,13.647813528,11.045314009,13.320264588,5.2338429635,7.2545129357,19.420478308,18.421182553,9.7663384121
2018-07-31 23:59:59.999999999,5.2352174558,31.383284285,15.230046095,12.633881282,14.379662717,6.0886613253,8.320176395,19.436846179,19.368270931,13.83631373
2018-08-31 23:59:59.999999999,5.1258869178,31.569565562,14.56474359,11.751380521,13.96479352,5.5691160335,8.60335906,17.620012557,17.737522731,12.674608177
2018-09-30 23:59:59.999999999,5.6129260175,35.219906974,15.211031467,11.879474757,13.586966215,6.0348603059,8.8955230965,18.673012493,19.493806912,12.426243541
2018-10-31 23:59:59.999999999,7.3508305644,33.388848621,16.981600358,14.221795815,12.10529051,6.8446663469,8.1073121892,23.597763041,23.644101287,18.82764173
2018-11-30 23:59:59.999999999,6.8029929219,31.086778473,18.635439572,15.955004248,12.534976465,7.2727803686,8.0262390673,22.087506206,24.587350009,19.572735636
2018-12-31 23:59:59.999999999,6.2636269666,30.027001934,18.37969773,16.358640611,11.628411851,6.9682223712,7.9236182402,24.484130729,26.721790468,19.412500388
2019-01-31 23:59:59.999999999,7.0645316492,26.788795843,20.08636545,19.165331595,13.238848603,8.1794091018,8.510887551,27.405766497,28.67550628,29.963991519
2019-02-28 23:59:59.999999999,7.4732692114,27.730819433,19.163679316,18.330447908,13.027147997,8.5224920384,8.3575264138,28.434511485,27.276393666,29.627497496
2019-03-31 23:59:59.999999999,7.7494432399,29.985788402,18.736489532,18.198765761,12.72471856,8.3970063164,8.1878207396,27.288904571,27.6638261,29.395156385
2019-04-30 23:59:59.999999999,7.4923109417,29.497113664,18.417999153,18.104878215,13.964679252,9.0061291283,8.451650519,29.880772701,29.78512326,26.87075765
2019-05-31 23:59:59.999999999,7.0879353541,28.849472446,19.063432511,18.837485409,13.269091547,9.5603524593,8.6654436161,31.408395911,30.778807833,28.275925711
2019-06-30 23:59:59.999999999,7.6039259513,30.509789024,19.758183874,19.224125955,13.526156568,9.8428027158,9.7162139443,33.921525059,33.014775941,28.966183706
2019-07-31 23:59:59.999999999,7.2349649329,29.326371889,18.981375707,17.671457738,15.219761415,11.114497838,10.898583279,36.421354383,33.2247936,32.368169537
2019-08-31 23:59:59.999999999,7.1296565027,26.830009375,18.935357234,16.886891849,14.15369765,11.802074026,10.294631561,38.937738867,35.387975484,37.750538424
2019-09-30 23:59:59.999999999,7.7028249666,28.113516516,19.552116843,17.394138487,14.554416654,11.576850523,11.104780472,37.715786211,35.388154295,32.992688675
2019-10-31 23:59:59.999999999,8.496872985,27.789695907,20.230563851,18.599924286,13.140559036,12.837222744,11.68683046,35.824189367,35.584482475,32.507864607
2019-11-30 23:59:59.999999999,8.2040614238,29.426461895,19.440111059,17.657589007,13.647128343,12.66209734,13.941701278,37.367334161,36.320713146,28.631927354
2019-12-31 23:59:59.999999999,8.6109518406,32.212708708,20.755787679,19.445412712,14.486637013,11.40172512,15.902865176,41.387553952,39.453205493,31.073409531
