Ativo,Setor,Score_Selecao,Retorno_Anual_Pct,Volatilidade_Anual_Pct,Sharpe_Ratio,Sortino_Ratio,Beta,Max_Drawdown_Pct
EMBR3,Aerospacial e Defesa,1.0,2.21,22.53,-0.19,-0.164,-0.19,-27.67
RADL3,SaÃºde,0.3887,14.22,27.18,0.284,0.305,0.641,-31.69
AGRO3,Outros,0.3186,27.74,15.83,1.342,2.042,0.664,-5.26
ABEV3,Bebidas,0.288,-0.21,26.65,-0.252,-0.243,1.467,-34.23
WEGE3,MÃ¡quinas e Equipamentos,0.216,36.29,25.26,1.179,1.951,1.172,-10.93
LREN3,ComÃ©rcio,0.1401,32.11,24.15,1.061,1.172,1.194,-24.64
EQTL3,Energia ElÃ©trica,0.1185,32.43,25.56,1.015,0.917,1.681,-20.2
TAEE11,Energia ElÃ©trica,0.0316,30.5,15.92,1.508,2.161,0.89,-8.73
B3SA3,FinanÃ§as e Seguros,0.0305,38.98,29.92,1.085,1.321,1.177,-22.24
BDLL4,Outros,0.0,-57.6,35.41,-1.81,-1.813,1.739,-78.55
